,amenities
49,"['Shampoo', 'Essentials', 'Dishwasher', 'Showergel', 'FreedryerInunit', 'Washer', 'Childrensbikes', 'Outdoorfurniture', 'Coffeemaker', 'Privatepatioorbalcony', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Freezer', 'Refrigerator', 'Wifi', 'Toaster', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Bedlinens', 'Kitchen', 'Centralheating', ""Children'splayroom"", 'Dishesandsilverware', 'Bodysoap', 'Boardgames', 'Oven', 'Outdoorplayground', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
50,"['Essentials', 'SoundsystemwithBluetoothandaux', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Highchair', 'Piano', 'Privatepatioorbalcony', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Dryer', 'Iron', 'Childrensbooksandtoysforages2-5yearsoldand5-10yearsold', 'Hotwater', 'TV', 'Bathtub', 'Bedlinens', 'Kitchen', 'Heating', 'Dishesandsilverware', 'Extrapillowsandblankets', 'Oven', 'Microwave']"
51,"['Carbonmonoxidealarm', 'Wifi', 'Airconditioning', 'Coffeemaker', 'Canalview', 'Dedicatedworkspace', 'Privatepatioorbalcony', 'Outdoordiningarea', 'TV', 'Exteriorsecuritycamerasonproperty', 'Indoorfireplace', 'Courtyardview', 'Smokealarm', 'Refrigerator']"
52,"['Toaster', 'Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Pocketwifi', 'Changingtable', 'Dishwasher', 'Privateentrance', 'TVwithstandardcable', 'Blender', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Coffeemaker', 'Privatepatioorbalcony', 'Petsallowed', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Soundsystem', 'Hotwaterkettle', 'Dryer', 'Iron', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Gardenview', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Extrapillowsandblankets', 'Boardgames', 'Oven', 'Fireextinguisher', 'Ricemaker', 'Laundromatnearby', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
53,"['Shampoo', 'Essentials', 'Dishwasher', 'Minifridge', 'Privateentrance', 'Blender', 'Washer', 'Coffeemaker', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Wineglasses', 'Hotwater', 'TV', 'Clothingstorage:closet', 'Smartlock', 'Kitchen', 'Bedlinens', 'Centralheating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Selfcheck-in', 'Microwave']"
54,"['Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Showergel', 'FreedryerInunit', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Hotwaterkettle', 'Toaster', 'Iron', 'Wineglasses', 'Clothingstorage:dresser', 'Canalview', 'Conditioner', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Courtyardview', 'Stainlesssteeloven', 'Bakingsheet', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Outletcovers', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
55,"['DryerInbuilding', 'Keypad', '42inchTV', 'Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Exteriorsecuritycamerasonproperty', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Coffeemaker', 'Crib-availableuponrequest', 'Cookingbasics', 'Smokealarm', 'Washer\\u00a0Inbuilding', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Conditioner', 'Hotwater', 'Bathtub', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Safe', 'Fireextinguisher', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
56,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Fireextinguisher', 'TV', 'Kitchen', 'Airconditioning', 'Smokealarm']"
57,"['Shampoo', 'Essentials', 'Dishwasher', 'Washer', 'Coffeemaker', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Dryer', 'Iron', 'Hotwater', 'TV', 'Babybath-availableuponrequest', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Babymonitor-availableuponrequest', 'Oven', 'Hostgreetsyou']"
58,"['Singlelevelhome', 'Dishwasher', 'Privateentrance', 'Blender', 'Washer', 'Outdoorfurniture', 'Coffeemaker', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Soundsystem', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Ceilingfan', 'Booksandreadingmaterial', 'Lockbox', 'Kitchen', 'Bedlinens', 'Ethernetconnection', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Backyard', 'Oven', 'Selfcheck-in', 'Petsallowed', 'Microwave']"
59,"['Essentials', 'Dishwasher', 'Waterfront', 'TVwithstandardcable', 'Dryingrackforclothing', 'Coffeemaker', 'Freeparkingonpremises', 'Smokealarm', 'Refrigerator', 'Wifi', 'Washer\\u00a0Inunit', 'Iron', 'Firstaidkit', 'Hotwater', 'Bedlinens', 'Hangers', 'Portablefans', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Backyard', 'Fireextinguisher', 'Patioorbalcony', 'Dryer\\u00a0Inunit', 'Petsallowed', 'Microwave']"
60,"['Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Showergel', 'Sauna', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Highchair', 'Privatepatioorbalcony', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Fastwifi79Mbps', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Crib', 'Boardgames', 'Oven', 'Fireextinguisher', 'Clothingstorage', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
61,"['Shampoo', 'Essentials', 'Showergel', 'Mosquitonet', 'Coffeemaker', 'Ritualsbodysoap', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Canalview', 'Hotwater', 'TV', 'Bedlinens', 'Hangers', 'Kitchen', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Fireextinguisher', 'Laundromatnearby', 'Coffee', 'Diningtable', 'Microwave']"
62,"['Essentials', '40inchHDTVwithChromecast', 'EVcharger', 'Showergel', 'Coffeemaker:dripcoffeemaker', 'Nespresso', 'FreedryerInunit', 'Luggagedropoffallowed', 'Dryingrackforclothing', '100Ltrefrigerator', 'Ritualsbodysoap', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Lockonbedroomdoor', 'Freezer', 'Wifi23Mbps', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Centralairconditioning', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Ritualsshampoo', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Paidparkinggarageoffpremises', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Privatelivingroom', 'Fireextinguisher', 'Laundromatnearby', 'Heating-splittypeductlesssystem', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
63,"['Carbonmonoxidealarm', 'Centralheating', 'Washer', 'Wifi', 'Dishesandsilverware', 'Kitchen', 'Essentials', 'Conditioner', 'Hotwater', 'Showergel', 'TV', 'Bedlinens', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm']"
64,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Paidparkingonpremises', 'Fireextinguisher', 'Outdoordiningarea', 'TV', 'Lockbox', 'Kitchen', 'Selfcheck-in', 'Dedicatedworkspace', 'Smokealarm']"
65,"['Wifi', 'Centralheating', 'Washer', 'Dishesandsilverware', 'Backyard', 'Highchair', 'Freeparkingonpremises', 'Hotwater', 'Outdoordiningarea', 'Gardenview', 'Freedryer', 'Parkview', 'Kitchen', 'Hostgreetsyou', 'Outdoorplayground', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator']"
66,"['Coffeemaker:Nespresso', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'EVcharger', 'FreedryerInunit', 'Siemensrefrigerator', 'Dryingrackforclothing', 'Outdoorfurniture', 'Privatepatioorbalcony', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Clothingstorage:closetandwardrobe', 'Freezer', 'Wifi', 'Toaster', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bedlinens', 'Kitchen', 'Hangers', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Extrapillowsandblankets', 'Boardgames', 'Oven', 'Otherinductionstove', 'Diningtable', 'Microwave']"
67,"['FreewasherInbuilding', 'Shampoo', 'Essentials', 'Dishwasher', 'Fastwifi90Mbps', 'EVcharger', 'Paidparkingoffpremises', 'Showergel', 'Coffeemaker', 'FreedryerInbuilding', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Stove', 'Iron', 'Breakfast', 'Conditioner', 'Hotwater', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Boardgames', 'Oven', 'Fireextinguisher', 'Hostgreetsyou', 'Microwave']"
68,"['Shampoo', 'Stainlesssteelsingleoven', 'Essentials', 'Dishwasher', 'Showergel', 'Coffeemaker:espressomachine', 'Dryingrackforclothing', 'Outdoorfurniture', 'Freewasher', 'Privatepatioorbalcony', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Hotwaterkettle', 'Toaster', 'Iron', 'Wineglasses', 'Clothingstorage:dresser', 'Conditioner', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Airconditioning', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
69,"['Wifi', 'Stove', 'Luggagedropoffallowed', 'Hairdryer', 'Cookingbasics', 'Kitchen', 'Oven', 'Fireextinguisher', 'Firstaidkit', 'Elevator', 'Hotwater', 'Bedlinens', 'Microwave', 'Smokealarm', 'Refrigerator']"
70,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Paidparkingonpremises', 'Outdoordiningarea', 'TV', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm']"
71,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Fireextinguisher', 'Firstaidkit', 'TV', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm']"
72,"['Wifi', 'Washer', 'Iron', 'Paidparkingonpremises', 'Hairdryer', 'Room-darkeningshades', 'Kitchen', 'Hotwater', 'Showergel', 'TV', 'Freedryer', 'Bedlinens', 'Radiantheating']"
73,"['Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Showergel', 'Coffeemaker:dripcoffeemaker', 'espressomachine', 'Privateentrance', 'Blender', 'Washer', 'Dryingrackforclothing', 'Outdoorfurniture', 'FreedryerInbuilding', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Babysitterrecommendations', 'Hotwaterkettle', 'Iron', 'Otherstove', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Hostgreetsyou', 'Bedlinens', 'Kitchen', 'Bakingsheet', 'Carbonmonoxidealarm', 'Centralheating', 'PrivatebackyardFullyfenced', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Oven', 'Laundromatnearby', 'Packnplay/Travelcrib-availableuponrequest', 'Diningtable', 'Microwave']"
74,"['Shampoo', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Bidet', 'Showergel', 'Coffeemaker:dripcoffeemaker', 'espressomachine', 'Exteriorsecuritycamerasonproperty', 'Privateentrance', 'SonosandBoseBluetoothsoundsystem', 'Blender', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Freeparkinggarageonpremises', 'Petsallowed', 'Iron', 'Wineglasses', 'Elevator', 'Hotwater', 'Booksandreadingmaterial', 'Bedlinens', 'Kitchen', 'Singleoven', 'Bakingsheet', 'Portablefans', 'Centralheating', 'Portableheater', 'Carbonmonoxidealarm', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Childrensbooksandtoysforages0-2yearsold', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Babymonitor-availableuponrequest', 'Fireextinguisher', 'Coffee', 'Otherinductionstove', 'Diningtable', 'Hotwaterkettle']"
75,"['Wifi', 'Heating', 'Wineglasses', 'Extrapillowsandblankets', 'Kitchen', 'Fireextinguisher', 'Clothingstorage', 'Hotwater', 'TV', 'Bedlinens', 'Hostgreetsyou', 'Diningtable']"
76,"['Wifi', 'Fireextinguisher', 'Firstaidkit', 'Airconditioning', 'Petsallowed', 'Dedicatedworkspace', 'Hostgreetsyou', 'Lockonbedroomdoor']"
77,"['Shampoo', 'Essentials', 'Dishwasher', 'TVwithstandardcable', 'Washer', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Coffeemaker', 'Highchair', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Dryer', 'Iron', 'Elevator', 'Hotwater', 'Lockbox', 'Kitchen', 'Hangers', 'Heating', 'Hairdryer', 'Crib', 'Babybath', 'Oven', 'Fireextinguisher', 'Selfcheck-in', 'Microwave']"
78,"['Housekeepingavailableeveryday', 'Recordplayer', 'Shampoo', 'Essentials', 'Showergel', 'Pooltable', 'Luggagedropoffallowed', 'Crib-availableuponrequest', 'Smokealarm', 'Themeroom', 'Wifi', 'Iron', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Bedlinens', 'Hangers', 'Portablefans', 'Heating', 'Hairdryer', 'Extrapillowsandblankets', 'Safe', 'Fireextinguisher', 'Clothingstorage', 'Laundromatnearby', 'Coffee']"
79,"['Coffeemaker:Nespresso', 'Shampoo', 'Essentials', 'Dishwasher', 'Showergel', 'Blender', 'Smokingallowed', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Babysitterrecommendations', 'Soundsystem', 'Petsallowed', 'Iron', 'Conditioner', 'Hotwater', 'TV', 'Bathtub', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Centralheating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Boardgames', 'Oven', 'Safe', 'Fireextinguisher', 'Clothingstorage', 'Freedryer', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
80,"['Coffeemaker:pour-overcoffee', 'Essentials', 'Dishwasher', 'Mosquitonet', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Stainlesssteelgasstove', 'Privatepatioorbalcony', 'SonosBluetoothsoundsystem', 'Outdoordiningarea', 'Cookingbasics', 'Toaster', 'Smokealarm', 'Freezer', 'HDTVwithChromecast', 'Netflix', 'Wifi', 'Refrigerator', 'Hotwaterkettle', 'Wineglasses', 'Hotwater', 'Bathtub', 'Booksandreadingmaterial', 'Kitchen', 'Bedlinens', 'Stainlesssteeloven', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Ethernetconnection', 'Dishesandsilverware', 'Paidparkinggarageoffpremises', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Laundromatnearby', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
81,"['Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Privateentrance', 'Babysafetygates', 'FreedryerInunit', 'Washer', 'Dryingrackforclothing', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Iron', 'Hotwater', 'TV', 'Kitchen', 'Bedlinens', 'Stainlesssteeloven', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Outletcovers', 'Ricemaker', 'Diningtable', 'Microwave']"
82,"['Essentials', 'Minifridge', 'Privateentrance', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Coffeemaker', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Lockonbedroomdoor', '33inchHDTVwithNetflix', 'standardcable', 'Iron', 'Wineglasses', 'Hotwater', 'Gardenview', 'Bedlinens', 'Hangers', 'Microwave', 'Heating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Room-darkeningshades', 'Oven', 'Hostgreetsyou', 'Fastwifi120Mbps']"
83,"['Keypad', 'Paidstreetparkingoffpremises', 'Essentials', 'Showergel', 'Minifridge', 'Privateentrance', 'Luggagedropoffallowed', 'Crib-availableuponrequest', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'MarieStellaMarisshampoo', 'Wifi', 'Refrigerator', 'Freezer', 'Iron', 'HDTVwithstandardcable', 'Hotwater', 'Clothingstorage:closet', 'Booksandreadingmaterial', 'Ceilingfan', 'Bedlinens', 'Hangers', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Privatelivingroom', 'Fireextinguisher', 'Coffeemaker:espressomachine', 'Nespresso', 'Laundromatnearby', 'Bikes', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
84,"['Shampoo', 'Dishwasher', 'Showergel', 'Blender', 'Washer', 'Coffeemaker', 'Piano', 'Outdoordiningarea', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Conditioner', 'Hotwater', 'TV', 'Bathtub', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Carbonmonoxidealarm', 'BeachaccessBeachfront', 'Heating', 'Dishesandsilverware', 'Lakeaccess', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Clothingstorage', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
85,"['Shampoo', 'Essentials', 'Dishwasher', 'Coffeemaker', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'Hotwater', 'TV', 'Bedlinens', 'Kitchen', 'Hangers', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Crib', 'Paidparkingonpremises', 'Oven', 'Patioorbalcony', 'Childrensdinnerware', 'Microwave']"
86,"['Coffeemaker:Nespresso', 'Stainlesssteelsingleoven', 'Essentials', 'Dishwasher', 'Privatebackyard', 'Waterfront', 'Showergel', 'Lakeview', 'Privateentrance', 'Outdoorfurniture', 'Cookingbasics', 'Smokealarm', 'Freezer', 'Refrigerator', '32inchHDTV', 'Wifi', 'Hotwaterkettle', 'Inductionstove', 'Wineglasses', 'Freestreetparking', 'Boatslip', 'Hotwater', 'Ceilingfan', 'Bedlinens', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Centralheating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Room-darkeningshades', 'Fireextinguisher', 'Airconditioning', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
87,"['Singlelevelhome', 'Essentials', 'Waterfront', 'Lakeview', 'Exteriorsecuritycamerasonproperty', 'Privateentrance', '24inchHDTVwithChromecast', 'Luggagedropoffallowed', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'Fastwifi359Mbps', 'Outdoordiningarea', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Freezer', 'Hotwaterkettle', 'Iron', 'Freestreetparking', 'Firstaidkit', 'Hotwater', 'Clothingstorage:closet', 'Lockbox', 'Bedlinens', 'Kitchen', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'SharedbackyardNotfullyfenced', 'Hairdryer', 'Oven', 'Fireextinguisher', 'Laundromatnearby', 'Selfcheck-in', 'Outdoorplayground', 'Microwave']"
88,"['Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Coffeemaker:espressomachine', 'Privateentrance', 'FreedryerInunit', 'Washer', 'Dryingrackforclothing', 'Outdoordiningarea', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Freezer', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Inductionstove', 'Iron', 'Hotwater', 'TV', 'Bathtub', 'Lockbox', 'Kitchen', 'Bedlinens', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Backyard', 'Oven', 'Selfcheck-in', 'Diningtable', 'Microwave']"
89,"['Shampoo', 'Dishwasher', 'Paidparkingoffpremises', 'Privateentrance', 'Washer', 'Dryingrackforclothing', 'Buildingstaff', 'Coffeemaker', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Hotwaterkettle', 'Dryer', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Bedlinens', 'Hangers', 'Kitchen', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Crib', 'Oven', 'Safe', 'Patioorbalcony', 'Clothingstorage', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
90,"['Standalonehighchair-alwaysatthelisting', 'Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Changingtable-alwaysatthelisting', 'Dishwasher', 'Showergel', 'Coffeemaker:espressomachine', 'Childrensbooksandtoysforages2-5yearsold', 'Privateentrance', 'Babysafetygates', 'Mosquitonet', 'Blender', 'FreedryerInunit', 'Childrensbikes', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Babymonitor-alwaysatthelisting', 'Selfcheck-in', 'Privatepatioorbalcony', 'SonosBluetoothsoundsystem', 'Coffee', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', '65inchHDTV', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Barbecueutensils', 'Bikes', 'Childrensdinnerware', ""Children'splayroom"", 'Packnplay/Travelcrib-availableuponrequest', 'Diningtable', 'Hotwaterkettle']"
91,"['Shampoo', 'Essentials', 'Pocketwifi', 'Dishwasher', 'EVcharger', 'Paidparkingoffpremises', 'Minifridge', 'Privateentrance', 'TVwithstandardcable', 'Blender', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Piano', 'Privatepatioorbalcony', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Babysitterrecommendations', 'Stove', 'Toaster', 'Dryer', 'Iron', 'Wineglasses', 'Conditioner', 'Hotwater', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Portablefans', 'Heating', 'Dishesandsilverware', 'Outletcovers', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Boardgames', 'Backyard', 'Oven', 'Barbecueutensils', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
